N_feature,Best cross-validation score,Train accuracy,Validation accuracy,Test accuracy,General accuracy,Time rfe,Time train,Time total,Norm Best cross,Norm Validation accuracy,Norm Test accuracy,Norm Train accuracy,Norm General accuracy,Norm Time rfe,Norm Time train,Norm Time total,Performance Index
35,0.803621101,1.0,0.837104072,0.796839729,0.96339438,6.895842791,55.55160022,62.44744301,0.9686388844472199,1.0,0.9375000086523438,1.0,0.997540346863895,0.0,1.0,0.0,1.6599292321763492
30,0.807573502,1.0,0.814479638,0.796839729,0.961131937,41.83101726,42.219033,84.05005026,1.0,0.2307692255384607,0.9375000086523438,1.0,0.9728882119608325,0.16125266513320724,0.2833760933885529,0.10907985259408338,1.867400756119033
25,0.806725244,1.0,0.830316742,0.794582393,0.962489913,80.55670571,47.63577151,128.1924772,0.9932693273894604,0.7692307744615393,0.8750000173046877,1.0,0.9876850521672469,0.340001463918282,0.5745251457860451,0.3319719029858385,1.6881141538811668
20,0.802484755,1.0,0.837104072,0.799097065,0.963620114,114.9230764,52.4556067,167.3786831,0.9596223200313279,1.0,1.0,1.0,1.0,0.4986286626928489,0.8335907155361691,0.5298380917206912,1.4935126309168192
15,0.786371057,1.0,0.837104072,0.799097065,0.963620114,149.6550844,51.43449759,201.089582,0.8317649632093359,1.0,1.0,1.0,1.0,0.6589435585121795,0.7787062219941417,0.7000573546212862,1.3129400729561755
10,0.763772187,1.0,0.837104072,0.796839729,0.96339438,181.7613084,52.22101021,233.9823186,0.6524497132050358,1.0,0.9375000086523438,1.0,0.997540346863895,0.8071384442127727,0.8209811820257032,0.8661454021528642,1.0296802478149274
5,0.68154479,0.893472732,0.807692308,0.762979684,0.871845385,223.5445068,36.946908,260.4914148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.5
