N_feature,Best cross-validation,TRAIN Accuracy,TRAIN Precision,TRAIN Recall,VALIDATION Accuracy,VALIDATION Precision,VALIDATION Recall,TEST Accuracy,TEST Precision,TEST Recall,Total runtime,Total rfe-time,Total train-time
35,0.8036211008146477,1.0,1.0,1.0,0.8371040723981901,0.8345101354151128,0.8371040723981901,0.7968397291196389,0.7907335394654476,0.7968397291196389,270.655876159668,6.692214488983154,263.9636616706848
30,0.8075735023447128,1.0,1.0,1.0,0.8144796380090498,0.8105425241648153,0.8144796380090498,0.7968397291196389,0.7909519135489829,0.7968397291196389,267.7715191841125,13.990129709243774,253.7813894748688
25,0.8087026456042636,1.0,1.0,1.0,0.8280542986425339,0.8254190956438904,0.8280542986425339,0.7968397291196389,0.7907335394654476,0.7968397291196389,287.6802515983581,20.90909457206726,266.7711570262909
20,0.808140074582673,1.0,1.0,1.0,0.8144796380090498,0.8105425241648153,0.8144796380090498,0.7968397291196389,0.7909519135489829,0.7968397291196389,272.5627362728119,28.21892213821411,244.3438141345977
15,0.7863710568012676,1.0,1.0,1.0,0.8371040723981901,0.8345101354151128,0.8371040723981901,0.7990970654627539,0.7932993741448892,0.7990970654627539,285.079535484314,34.37530040740967,250.7042350769043
10,0.7657527888478098,0.9960440802486578,0.9960673779363424,0.9960440802486578,0.834841628959276,0.8332199851186058,0.834841628959276,0.7765237020316027,0.7692280940017786,0.7765237020316027,305.298068523407,41.25112175941467,264.0469467639923
5,0.6871993085898113,0.9683526419892625,0.9691847026934394,0.9683526419892625,0.834841628959276,0.8334571541882807,0.834841628959276,0.7855530474040632,0.7802589968435861,0.7855530474040632,290.37195348739624,47.852052211761475,242.51990127563477
