N_feature,Best cross-validation,TRAIN Accuracy,TRAIN Precision,TRAIN Recall,VALIDATION Accuracy,VALIDATION Precision,VALIDATION Recall,TEST Accuracy,TEST Precision,TEST Recall,Total runtime,Total rfe-time,Total train-time,Norm Test accuracy,Norm Time rfe,Norm Time train,Norm Time total,Performance Index
35,0.8036211008146477,1.0,1.0,1.0,0.8371040723981901,0.8345101354151128,0.8371040723981901,0.7968397291196389,0.7907335394654476,0.7968397291196389,270.655876159668,6.692214488983154,263.9636616706848,0.9000000000000015,0.0,0.884232990469777,0.07686176923640804,0.8231382307635934
30,0.8075735023447128,1.0,1.0,1.0,0.8144796380090498,0.8105425241648153,0.8144796380090498,0.7968397291196389,0.7909519135489829,0.7968397291196389,267.7715191841125,13.990129709243774,253.7813894748688,0.9000000000000015,0.1773067053717238,0.46436721937293235,0.0,0.9000000000000015
25,0.8087026456042636,1.0,1.0,1.0,0.8280542986425339,0.8254190956438904,0.8280542986425339,0.7968397291196389,0.7907335394654476,0.7968397291196389,287.6802515983581,20.90909457206726,266.7711570262909,0.9000000000000015,0.3454066116304516,1.0,0.5305239294516999,0.36947607054830156
20,0.808140074582673,1.0,1.0,1.0,0.8144796380090498,0.8105425241648153,0.8144796380090498,0.7968397291196389,0.7909519135489829,0.7968397291196389,272.5627362728119,28.21892213821411,244.3438141345977,0.9000000000000015,0.523002733738132,0.07520900681250514,0.12767539710032594,0.7723246028996755
15,0.7863710568012676,1.0,1.0,1.0,0.8371040723981901,0.8345101354151128,0.8371040723981901,0.7990970654627539,0.7932993741448892,0.7990970654627539,285.079535484314,34.37530040740967,250.7042350769043,1.0,0.6725751958712504,0.33748082513409977,0.46122056530463096,0.538779434695369
10,0.7657527888478098,0.9960440802486578,0.9960673779363424,0.9960440802486578,0.834841628959276,0.8332199851186058,0.834841628959276,0.7765237020316027,0.7692280940017786,0.7765237020316027,305.298068523407,41.25112175941467,264.0469467639923,0.0,0.8396269077442504,0.887667249469138,1.0,-1.0
5,0.6871993085898113,0.9683526419892624,0.9691847026934394,0.9683526419892624,0.834841628959276,0.8334571541882807,0.834841628959276,0.7855530474040632,0.7802589968435861,0.7855530474040632,290.37195348739624,47.85205221176148,242.5199012756348,0.399999999999999,1.0,0.0,0.6022518643785499,-0.20225186437855092
